Overriding config with /tmp/baseline_seed50.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 50
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed50'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2654, time 9984.80ms, mfu -100.00%
iter 10: loss 3.1462, time 13.80ms, mfu 26.99%
iter 20: loss 2.7311, time 14.67ms, mfu 26.83%
iter 30: loss 2.6177, time 14.72ms, mfu 26.68%
iter 40: loss 2.5754, time 14.65ms, mfu 26.56%
iter 50: loss 2.5250, time 14.48ms, mfu 26.48%
iter 60: loss 2.5142, time 14.69ms, mfu 26.37%
iter 70: loss 2.4945, time 14.90ms, mfu 26.23%
iter 80: loss 2.4936, time 14.61ms, mfu 26.16%
iter 90: loss 2.4688, time 14.33ms, mfu 26.14%
iter 100: loss 2.4602, time 14.79ms, mfu 26.05%
iter 110: loss 2.4601, time 14.69ms, mfu 25.98%
iter 120: loss 2.4263, time 14.86ms, mfu 25.89%
iter 130: loss 2.4117, time 14.82ms, mfu 25.81%
iter 140: loss 2.4052, time 14.57ms, mfu 25.79%
iter 150: loss 2.4088, time 14.80ms, mfu 25.73%
iter 160: loss 2.3646, time 14.65ms, mfu 25.70%
iter 170: loss 2.3534, time 14.63ms, mfu 25.68%
iter 180: loss 2.3157, time 16.11ms, mfu 25.42%
iter 190: loss 2.2499, time 15.99ms, mfu 25.21%
iter 200: loss 2.2142, time 16.25ms, mfu 24.98%
iter 210: loss 2.1370, time 15.94ms, mfu 24.82%
iter 220: loss 2.1398, time 15.60ms, mfu 24.73%
iter 230: loss 2.0697, time 14.68ms, mfu 24.79%
iter 240: loss 2.0775, time 15.93ms, mfu 24.65%
step 250: train loss 1.9670, val loss 2.0616
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed50
iter 250: loss 2.0325, time 4340.34ms, mfu 22.20%
iter 260: loss 1.9813, time 24.95ms, mfu 21.47%
iter 270: loss 1.9771, time 25.11ms, mfu 20.81%
iter 280: loss 1.9749, time 23.17ms, mfu 20.33%
iter 290: loss 1.9128, time 23.39ms, mfu 19.89%
iter 300: loss 1.8976, time 23.19ms, mfu 19.51%
iter 310: loss 1.8655, time 23.72ms, mfu 19.13%
iter 320: loss 1.8481, time 22.81ms, mfu 18.85%
iter 330: loss 1.8202, time 23.22ms, mfu 18.57%
iter 340: loss 1.7880, time 23.31ms, mfu 18.31%
