Overriding config with /tmp/baseline_seed44.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 44
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed44'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2654, time 9478.60ms, mfu -100.00%
iter 10: loss 3.1462, time 10.38ms, mfu 35.89%
iter 20: loss 2.7306, time 11.77ms, mfu 35.47%
iter 30: loss 2.6175, time 12.68ms, mfu 34.86%
iter 40: loss 2.5753, time 12.39ms, mfu 34.38%
iter 50: loss 2.5248, time 12.50ms, mfu 33.92%
iter 60: loss 2.5141, time 12.41ms, mfu 33.53%
iter 70: loss 2.4948, time 12.52ms, mfu 33.16%
iter 80: loss 2.4935, time 12.47ms, mfu 32.83%
iter 90: loss 2.4700, time 12.38ms, mfu 32.56%
iter 100: loss 2.4798, time 12.60ms, mfu 32.26%
iter 110: loss 2.4619, time 12.46ms, mfu 32.02%
iter 120: loss 2.4273, time 12.65ms, mfu 31.77%
iter 130: loss 2.4097, time 13.10ms, mfu 31.43%
iter 140: loss 2.4086, time 12.58ms, mfu 31.25%
iter 150: loss 2.4128, time 12.51ms, mfu 31.10%
iter 160: loss 2.3702, time 12.42ms, mfu 30.99%
iter 170: loss 2.3564, time 12.57ms, mfu 30.86%
iter 180: loss 2.3143, time 12.59ms, mfu 30.73%
iter 190: loss 2.2548, time 23.68ms, mfu 29.23%
iter 200: loss 2.2265, time 24.52ms, mfu 27.83%
iter 210: loss 2.1412, time 24.61ms, mfu 26.56%
iter 220: loss 2.1530, time 25.04ms, mfu 25.39%
iter 230: loss 2.0716, time 24.66ms, mfu 24.36%
iter 240: loss 2.0908, time 25.01ms, mfu 23.42%
step 250: train loss 1.9756, val loss 2.0712
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed44
iter 250: loss 2.0384, time 7230.82ms, mfu 21.08%
iter 260: loss 1.9759, time 24.92ms, mfu 20.47%
iter 270: loss 1.9835, time 25.32ms, mfu 19.89%
iter 280: loss 1.9849, time 25.17ms, mfu 19.38%
iter 290: loss 1.9166, time 24.74ms, mfu 18.95%
iter 300: loss 1.9033, time 24.86ms, mfu 18.56%
iter 310: loss 1.8722, time 24.78ms, mfu 18.20%
iter 320: loss 1.8544, time 25.25ms, mfu 17.86%
iter 330: loss 1.8222, time 24.85ms, mfu 17.57%
iter 340: loss 1.7836, time 24.60ms, mfu 17.33%
