Overriding config with /tmp/baseline_seed42.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 42
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed42'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2654, time 9930.56ms, mfu -100.00%
iter 10: loss 3.1461, time 16.73ms, mfu 22.27%
iter 20: loss 2.7312, time 17.66ms, mfu 22.16%
iter 30: loss 2.6179, time 17.24ms, mfu 22.10%
iter 40: loss 2.5754, time 17.26ms, mfu 22.05%
iter 50: loss 2.5250, time 17.39ms, mfu 21.99%
iter 60: loss 2.5142, time 17.30ms, mfu 21.94%
iter 70: loss 2.4945, time 17.20ms, mfu 21.91%
iter 80: loss 2.4937, time 17.28ms, mfu 21.88%
iter 90: loss 2.4690, time 17.49ms, mfu 21.82%
iter 100: loss 2.4608, time 17.41ms, mfu 21.78%
iter 110: loss 2.4629, time 17.31ms, mfu 21.75%
iter 120: loss 2.4267, time 17.31ms, mfu 21.73%
iter 130: loss 2.4156, time 17.46ms, mfu 21.69%
iter 140: loss 2.3985, time 17.25ms, mfu 21.68%
iter 150: loss 2.4086, time 17.42ms, mfu 21.65%
iter 160: loss 2.3672, time 17.28ms, mfu 21.64%
iter 170: loss 2.3548, time 17.34ms, mfu 21.63%
iter 180: loss 2.3132, time 17.42ms, mfu 21.60%
iter 190: loss 2.2497, time 17.45ms, mfu 21.58%
iter 200: loss 2.2052, time 17.54ms, mfu 21.55%
iter 210: loss 2.1367, time 18.96ms, mfu 21.36%
iter 220: loss 2.1473, time 18.86ms, mfu 21.20%
iter 230: loss 2.0704, time 18.84ms, mfu 21.05%
iter 240: loss 2.0785, time 18.82ms, mfu 20.93%
step 250: train loss 1.9672, val loss 2.0634
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed42
iter 250: loss 2.0312, time 7722.16ms, mfu 18.84%
iter 260: loss 1.9763, time 25.30ms, mfu 18.43%
iter 270: loss 1.9816, time 25.33ms, mfu 18.06%
iter 280: loss 1.9766, time 25.22ms, mfu 17.73%
iter 290: loss 1.9141, time 25.20ms, mfu 17.44%
iter 300: loss 1.9027, time 25.15ms, mfu 17.17%
iter 310: loss 1.8643, time 24.89ms, mfu 16.95%
iter 320: loss 1.8537, time 25.21ms, mfu 16.74%
iter 330: loss 1.8228, time 24.81ms, mfu 16.56%
iter 340: loss 1.7912, time 24.77ms, mfu 16.41%
