Overriding config with /tmp/baseline_seed43.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 43
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed43'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2654, time 12747.94ms, mfu -100.00%
iter 10: loss 3.1462, time 15.40ms, mfu 24.20%
iter 20: loss 2.7313, time 16.22ms, mfu 24.08%
iter 30: loss 2.6180, time 16.43ms, mfu 23.94%
iter 40: loss 2.5754, time 16.08ms, mfu 23.86%
iter 50: loss 2.5250, time 14.91ms, mfu 23.97%
iter 60: loss 2.5142, time 14.61ms, mfu 24.13%
iter 70: loss 2.4945, time 14.73ms, mfu 24.24%
iter 80: loss 2.4937, time 14.69ms, mfu 24.35%
iter 90: loss 2.4679, time 14.71ms, mfu 24.45%
iter 100: loss 2.4603, time 14.83ms, mfu 24.52%
iter 110: loss 2.4649, time 14.83ms, mfu 24.58%
iter 120: loss 2.4292, time 14.69ms, mfu 24.66%
iter 130: loss 2.4085, time 14.78ms, mfu 24.71%
iter 140: loss 2.4113, time 14.78ms, mfu 24.76%
iter 150: loss 2.4087, time 14.68ms, mfu 24.83%
iter 160: loss 2.3703, time 14.73ms, mfu 24.87%
iter 170: loss 2.3748, time 14.76ms, mfu 24.91%
iter 180: loss 2.3180, time 14.73ms, mfu 24.95%
iter 190: loss 2.2579, time 14.63ms, mfu 25.00%
iter 200: loss 2.2108, time 14.67ms, mfu 25.04%
iter 210: loss 2.1398, time 14.67ms, mfu 25.08%
iter 220: loss 2.1469, time 14.67ms, mfu 25.11%
iter 230: loss 2.0735, time 14.57ms, mfu 25.16%
iter 240: loss 2.0771, time 14.71ms, mfu 25.18%
step 250: train loss 1.9675, val loss 2.0669
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed43
iter 250: loss 2.0316, time 4309.79ms, mfu 22.67%
iter 260: loss 1.9773, time 25.22ms, mfu 21.88%
iter 270: loss 1.9748, time 25.10ms, mfu 21.17%
iter 280: loss 1.9728, time 16.34ms, mfu 21.34%
iter 290: loss 1.9101, time 16.40ms, mfu 21.48%
iter 300: loss 1.9025, time 16.18ms, mfu 21.63%
iter 310: loss 1.8673, time 21.09ms, mfu 21.23%
iter 320: loss 1.8494, time 21.00ms, mfu 20.89%
iter 330: loss 1.8181, time 21.18ms, mfu 20.56%
iter 340: loss 1.7845, time 20.83ms, mfu 20.29%
