Overriding config with /tmp/baseline_seed46.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 46
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed46'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2654, time 10454.64ms, mfu -100.00%
iter 10: loss 3.1462, time 15.29ms, mfu 24.37%
iter 20: loss 2.7308, time 15.80ms, mfu 24.29%
iter 30: loss 2.6176, time 16.15ms, mfu 24.16%
iter 40: loss 2.5754, time 15.95ms, mfu 24.08%
iter 50: loss 2.5249, time 15.94ms, mfu 24.01%
iter 60: loss 2.5141, time 19.51ms, mfu 23.52%
iter 70: loss 2.4948, time 16.00ms, mfu 23.50%
iter 80: loss 2.4932, time 15.92ms, mfu 23.49%
iter 90: loss 2.4701, time 15.93ms, mfu 23.48%
iter 100: loss 2.4782, time 16.04ms, mfu 23.46%
iter 110: loss 2.4617, time 16.28ms, mfu 23.40%
iter 120: loss 2.4271, time 16.10ms, mfu 23.37%
iter 130: loss 2.4096, time 16.09ms, mfu 23.35%
iter 140: loss 2.4092, time 16.23ms, mfu 23.31%
iter 150: loss 2.4135, time 15.98ms, mfu 23.31%
iter 160: loss 2.3676, time 16.00ms, mfu 23.31%
iter 170: loss 2.3521, time 16.21ms, mfu 23.28%
iter 180: loss 2.3145, time 15.88ms, mfu 23.30%
iter 190: loss 2.2488, time 16.16ms, mfu 23.27%
iter 200: loss 2.2077, time 15.84ms, mfu 23.30%
iter 210: loss 2.1462, time 15.92ms, mfu 23.31%
iter 220: loss 2.1490, time 16.07ms, mfu 23.30%
iter 230: loss 2.0807, time 16.12ms, mfu 23.28%
iter 240: loss 2.0826, time 15.94ms, mfu 23.29%
step 250: train loss 1.9674, val loss 2.0685
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed46
iter 250: loss 2.0337, time 5808.36ms, mfu 20.97%
iter 260: loss 1.9781, time 23.92ms, mfu 20.43%
iter 270: loss 1.9860, time 23.34ms, mfu 19.98%
iter 280: loss 1.9711, time 23.67ms, mfu 19.56%
iter 290: loss 1.9161, time 23.51ms, mfu 19.19%
iter 300: loss 1.8996, time 24.82ms, mfu 18.77%
iter 310: loss 1.8690, time 24.98ms, mfu 18.38%
iter 320: loss 1.8546, time 24.82ms, mfu 18.05%
iter 330: loss 1.8224, time 24.42ms, mfu 17.77%
iter 340: loss 1.7879, time 25.09ms, mfu 17.48%
