Overriding config with /tmp/baseline_seed51.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 51
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed51'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2654, time 12944.38ms, mfu -100.00%
iter 10: loss 3.1462, time 16.27ms, mfu 22.90%
iter 20: loss 2.7308, time 16.02ms, mfu 22.94%
iter 30: loss 2.6176, time 16.10ms, mfu 22.96%
iter 40: loss 2.5753, time 16.15ms, mfu 22.97%
iter 50: loss 2.5249, time 16.27ms, mfu 22.96%
iter 60: loss 2.5142, time 15.92ms, mfu 23.01%
iter 70: loss 2.4948, time 15.95ms, mfu 23.04%
iter 80: loss 2.4934, time 15.87ms, mfu 23.09%
iter 90: loss 2.4699, time 16.11ms, mfu 23.09%
iter 100: loss 2.4825, time 16.48ms, mfu 23.04%
iter 110: loss 2.4614, time 16.42ms, mfu 23.01%
iter 120: loss 2.4263, time 16.83ms, mfu 22.92%
iter 130: loss 2.4100, time 20.42ms, mfu 22.45%
iter 140: loss 2.4100, time 19.92ms, mfu 22.08%
iter 150: loss 2.4139, time 22.52ms, mfu 21.53%
iter 160: loss 2.3684, time 22.42ms, mfu 21.04%
iter 170: loss 2.3673, time 21.84ms, mfu 20.64%
iter 180: loss 2.3119, time 21.98ms, mfu 20.27%
iter 190: loss 2.2741, time 21.97ms, mfu 19.94%
iter 200: loss 2.2212, time 22.20ms, mfu 19.62%
iter 210: loss 2.1469, time 21.96ms, mfu 19.36%
iter 220: loss 2.1429, time 21.84ms, mfu 19.13%
iter 230: loss 2.0737, time 21.61ms, mfu 18.94%
iter 240: loss 2.0803, time 21.79ms, mfu 18.76%
step 250: train loss 1.9709, val loss 2.0709
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed51
iter 250: loss 2.0327, time 4592.23ms, mfu 16.89%
iter 260: loss 1.9772, time 24.91ms, mfu 16.70%
iter 270: loss 1.9813, time 24.62ms, mfu 16.54%
iter 280: loss 1.9807, time 24.53ms, mfu 16.40%
iter 290: loss 1.9122, time 24.71ms, mfu 16.27%
iter 300: loss 1.9051, time 24.55ms, mfu 16.16%
iter 310: loss 1.8676, time 24.55ms, mfu 16.06%
iter 320: loss 1.8501, time 24.82ms, mfu 15.96%
iter 330: loss 1.8188, time 24.39ms, mfu 15.89%
iter 340: loss 1.7927, time 24.46ms, mfu 15.82%
