Overriding config with config/train_openwebtext_baseline.py:
# OpenWebText Baseline (AdamW only)
# Same architecture as Shakespeare: 6L x 384d (~10M params)
# Only difference: dataset (9B tokens vs 1.1M)

# I/O
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-openwebtext-baseline'
eval_interval = 1000
eval_iters = 200
log_interval = 10
always_save_checkpoint = True

wandb_log = False
wandb_project = 'openwebtext'
wandb_run_name = 'baseline-6L-384d'

# Data
dataset = 'openwebtext'
data_dir = '/net/scratch2/junyuren/nanoGPT-manifold/data/openwebtext'
gradient_accumulation_steps = 40  # Simulate batch size of ~2.6M tokens
batch_size = 64
block_size = 1024  # OpenWebText uses 1024 context (vs 256 for Shakespeare)

# Model - SAME as Shakespeare: 6L x 384d (~10M params)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2  # Same as Shakespeare baseline
bias = False

# AdamW optimizer - Same as Shakespeare
learning_rate = 1e-3
max_iters = 100000  # ~100K iters for meaningful training on 9B tokens
lr_decay_iters = 100000
min_lr = 1e-4
beta1 = 0.9
beta2 = 0.99  # Same as Shakespeare
weight_decay = 1e-1
grad_clip = 1.0

# Learning rate schedule
decay_lr = True
warmup_iters = 2000  # Longer warmup for larger dataset

# System
device = 'cuda'
dtype = 'bfloat16'
compile = True

# No Grassmann
use_grassmann = False

tokens per iteration will be: 2,621,440
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 29.94M
num decayed parameter tensors: 26, with 30,326,784 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.8916, val loss 10.8909
iter 750: loss 5.3466, time 3085.87ms, mfu 56.66%
iter 760: loss 5.3502, time 3084.92ms, mfu 56.66%
iter 770: loss 5.2982, time 3083.72ms, mfu 56.66%
iter 780: loss 5.3134, time 3085.04ms, mfu 56.65%
iter 790: loss 5.2999, time 3086.37ms, mfu 56.65%
iter 800: loss 5.2953, time 3082.41ms, mfu 56.65%
iter 810: loss 5.3115, time 3085.00ms, mfu 56.65%
iter 820: loss 5.2413, time 3083.76ms, mfu 56.65%
iter 830: loss 5.2585, time 3086.23ms, mfu 56.65%
iter 840: loss 5.1808, time 3085.05ms, mfu 56.65%
iter 850: loss 5.0803, time 3086.03ms, mfu 56.64%
iter 860: loss 5.1418, time 3088.19ms, mfu 56.64%
iter 870: loss 5.1586, time 3086.54ms, mfu 56.63%
iter 880: loss 5.0012, time 3088.63ms, mfu 56.63%
iter 890: loss 5.1930, time 3085.26ms, mfu 56.63%
iter 900: loss 5.1614, time 3086.37ms, mfu 56.62%
iter 910: loss 5.1486, time 3084.44ms, mfu 56.63%
iter 920: loss 5.2053, time 3083.78ms, mfu 56.63%
iter 930: loss 5.1585, time 3084.29ms, mfu 56.63%
iter 940: loss 5.0660, time 3084.18ms, mfu 56.63%
iter 950: loss 5.0450, time 3088.00ms, mfu 56.63%
iter 960: loss 5.0303, time 3086.44ms, mfu 56.63%
iter 970: loss 5.0162, time 3088.41ms, mfu 56.62%
iter 980: loss 5.0453, time 3092.41ms, mfu 56.61%
iter 990: loss 4.8657, time 3088.06ms, mfu 56.60%
step 1000: train loss 4.8565, val loss 4.8548
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-openwebtext-baseline
iter 1000: loss 5.0788, time 20242.69ms, mfu 51.81%
iter 1010: loss 4.9791, time 3103.16ms, mfu 52.26%
iter 1020: loss 5.0191, time 3112.57ms, mfu 52.64%
iter 1030: loss 4.9975, time 3090.01ms, mfu 53.03%
iter 1040: loss 4.9444, time 3086.28ms, mfu 53.39%
iter 1050: loss 4.9990, time 3087.66ms, mfu 53.71%
iter 1060: loss 4.9537, time 3088.47ms, mfu 54.00%
iter 1070: loss 4.9263, time 3085.67ms, mfu 54.26%
iter 1080: loss 4.9181, time 3086.78ms, mfu 54.49%
iter 1090: loss 4.9070, time 3094.21ms, mfu 54.69%
iter 1100: loss 4.8501, time 3089.09ms, mfu 54.88%
iter 1110: loss 4.9143, time 3090.40ms, mfu 55.04%
iter 1120: loss 4.8683, time 3091.01ms, mfu 55.19%
iter 1130: loss 4.9457, time 3089.33ms, mfu 55.33%
iter 1140: loss 4.8095, time 3090.24ms, mfu 55.45%
iter 1150: loss 4.8287, time 3090.92ms, mfu 55.56%
iter 1160: loss 4.8281, time 3093.28ms, mfu 55.65%
iter 1170: loss 4.9054, time 3093.36ms, mfu 55.73%
iter 1180: loss 4.9149, time 3090.13ms, mfu 55.81%
iter 1190: loss 4.8890, time 3088.28ms, mfu 55.89%
iter 1200: loss 4.7928, time 3094.62ms, mfu 55.95%
iter 1210: loss 4.7522, time 3091.34ms, mfu 56.00%
iter 1220: loss 4.8893, time 3092.29ms, mfu 56.05%
iter 1230: loss 4.7812, time 3094.84ms, mfu 56.09%
iter 1240: loss 4.8323, time 3093.37ms, mfu 56.13%
iter 1250: loss 4.8012, time 3090.14ms, mfu 56.17%
iter 1260: loss 4.8311, time 3094.50ms, mfu 56.20%
iter 1270: loss 4.8047, time 3091.70ms, mfu 56.23%
iter 1280: loss 4.7668, time 3093.64ms, mfu 56.26%
iter 1290: loss 4.7631, time 3094.36ms, mfu 56.28%
iter 1300: loss 4.6988, time 3092.12ms, mfu 56.30%
iter 1310: loss 4.6528, time 3095.64ms, mfu 56.31%
iter 1320: loss 4.7122, time 3093.13ms, mfu 56.33%
iter 1330: loss 4.6267, time 3092.53ms, mfu 56.35%
iter 1340: loss 4.6591, time 3090.07ms, mfu 56.37%
iter 1350: loss 4.6029, time 3093.40ms, mfu 56.38%
iter 1360: loss 4.6528, time 3093.63ms, mfu 56.39%
iter 1370: loss 4.7048, time 3091.33ms, mfu 56.40%
iter 1380: loss 4.6956, time 3094.09ms, mfu 56.41%
iter 1390: loss 4.5618, time 3094.53ms, mfu 56.41%
iter 1400: loss 4.5801, time 3092.52ms, mfu 56.42%
iter 1410: loss 4.6474, time 3092.90ms, mfu 56.43%
iter 1420: loss 4.5902, time 3095.31ms, mfu 56.43%
iter 1430: loss 4.5105, time 3095.35ms, mfu 56.43%
iter 1440: loss 4.5959, time 3094.41ms, mfu 56.43%
iter 1450: loss 4.5658, time 3096.82ms, mfu 56.43%
iter 1460: loss 4.5432, time 3091.60ms, mfu 56.44%
iter 1470: loss 4.5291, time 3095.57ms, mfu 56.44%
iter 1480: loss 4.5352, time 3096.79ms, mfu 56.44%
iter 1490: loss 4.5863, time 3091.54ms, mfu 56.45%
iter 1500: loss 4.6056, time 3093.29ms, mfu 56.45%
iter 1510: loss 4.5301, time 3093.47ms, mfu 56.45%
iter 1520: loss 4.4993, time 3095.39ms, mfu 56.45%
iter 1530: loss 4.5585, time 3095.46ms, mfu 56.45%
iter 1540: loss 4.6032, time 3094.06ms, mfu 56.45%
iter 1550: loss 4.4604, time 3095.50ms, mfu 56.45%
iter 1560: loss 4.4799, time 3094.26ms, mfu 56.45%
iter 1570: loss 4.4087, time 3096.97ms, mfu 56.45%
iter 1580: loss 4.4825, time 3097.24ms, mfu 56.44%
iter 1590: loss 4.4795, time 3098.24ms, mfu 56.44%
iter 1600: loss 4.5247, time 3096.47ms, mfu 56.44%
iter 1610: loss 4.4079, time 3096.76ms, mfu 56.44%
iter 1620: loss 4.3666, time 3095.52ms, mfu 56.44%
iter 1630: loss 4.5239, time 3094.14ms, mfu 56.44%
iter 1640: loss 4.5068, time 3094.05ms, mfu 56.44%
iter 1650: loss 4.4986, time 3095.93ms, mfu 56.44%
iter 1660: loss 4.3392, time 3095.26ms, mfu 56.44%
iter 1670: loss 4.3926, time 3096.87ms, mfu 56.44%
iter 1680: loss 4.3994, time 3092.96ms, mfu 56.44%
iter 1690: loss 4.3766, time 3095.48ms, mfu 56.44%
iter 1700: loss 4.3490, time 3099.27ms, mfu 56.44%
iter 1710: loss 4.4396, time 3096.54ms, mfu 56.44%
iter 1720: loss 4.4698, time 3096.57ms, mfu 56.43%
iter 1730: loss 4.4016, time 3095.23ms, mfu 56.44%
iter 1740: loss 4.4334, time 3098.34ms, mfu 56.43%
iter 1750: loss 4.4478, time 3093.97ms, mfu 56.43%
iter 1760: loss 4.5163, time 3091.00ms, mfu 56.44%
iter 1770: loss 4.4597, time 3100.92ms, mfu 56.43%
iter 1780: loss 4.4737, time 3098.86ms, mfu 56.43%
iter 1790: loss 4.3509, time 3094.97ms, mfu 56.43%
iter 1800: loss 4.4796, time 3097.72ms, mfu 56.43%
iter 1810: loss 4.3824, time 3094.36ms, mfu 56.43%
iter 1820: loss 4.3664, time 3098.22ms, mfu 56.43%
iter 1830: loss 4.4961, time 3096.55ms, mfu 56.43%
iter 1840: loss 4.3581, time 3097.25ms, mfu 56.42%
iter 1850: loss 4.4457, time 3094.74ms, mfu 56.43%
iter 1860: loss 4.2875, time 3097.26ms, mfu 56.43%
iter 1870: loss 4.3695, time 3095.39ms, mfu 56.43%
iter 1880: loss 4.3690, time 3095.64ms, mfu 56.43%
