Overriding config with config/train_openwebtext_baseline_resume.py:
# Resume OpenWebText Baseline from checkpoint
# Continuing from step 13000

# I/O
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-openwebtext-baseline'
eval_interval = 1000
eval_iters = 200
log_interval = 10
always_save_checkpoint = True

# CRITICAL: Resume from checkpoint
init_from = 'resume'

wandb_log = False
wandb_project = 'openwebtext'
wandb_run_name = 'baseline-6L-384d-resume'

# Data
dataset = 'openwebtext'
data_dir = '/net/scratch2/junyuren/nanoGPT-manifold/data/openwebtext'
gradient_accumulation_steps = 40
batch_size = 64
block_size = 1024

# Model - SAME as Shakespeare: 6L x 384d (~10M params)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
bias = False

# AdamW optimizer - LR decay will continue from step 13000
learning_rate = 1e-3  # Max LR (for reference, decay continues)
max_iters = 100000
lr_decay_iters = 100000
min_lr = 1e-4
beta1 = 0.9
beta2 = 0.99
weight_decay = 1e-1
grad_clip = 1.0

decay_lr = True
warmup_iters = 2000  # Already past warmup

# System
device = 'cuda'
dtype = 'bfloat16'
compile = True

# No Grassmann
use_grassmann = False

tokens per iteration will be: 2,621,440
Resuming training from /net/scratch2/junyuren/nanoGPT-manifold/out-openwebtext-baseline
number of parameters: 29.94M
num decayed parameter tensors: 26, with 30,326,784 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 13750: loss 3.8519, time 3131.23ms, mfu 55.70%
iter 13760: loss 3.8840, time 3112.12ms, mfu 55.74%
iter 13770: loss 3.9501, time 3128.76ms, mfu 55.75%
iter 13780: loss 3.8103, time 3136.19ms, mfu 55.75%
iter 13790: loss 3.8554, time 3138.50ms, mfu 55.74%
iter 13800: loss 3.8231, time 3132.05ms, mfu 55.74%
iter 13810: loss 3.8808, time 3133.80ms, mfu 55.74%
iter 13820: loss 3.8399, time 3137.53ms, mfu 55.74%
iter 13830: loss 3.8764, time 3137.34ms, mfu 55.73%
iter 13840: loss 3.8446, time 3127.50ms, mfu 55.75%
iter 13850: loss 3.7839, time 3132.97ms, mfu 55.75%
iter 13860: loss 3.8944, time 3133.97ms, mfu 55.75%
iter 13870: loss 3.8915, time 3133.37ms, mfu 55.75%
iter 13880: loss 3.7140, time 3134.40ms, mfu 55.75%
iter 13890: loss 3.9251, time 3131.58ms, mfu 55.75%
iter 13900: loss 3.9189, time 3151.53ms, mfu 55.72%
iter 13910: loss 3.9190, time 3140.49ms, mfu 55.71%
iter 13920: loss 3.9247, time 3136.02ms, mfu 55.71%
iter 13930: loss 3.9582, time 3133.67ms, mfu 55.72%
iter 13940: loss 3.8648, time 3135.41ms, mfu 55.72%
iter 13950: loss 3.8336, time 3137.11ms, mfu 55.71%
iter 13960: loss 3.8470, time 3139.78ms, mfu 55.71%
iter 13970: loss 3.8734, time 3133.45ms, mfu 55.71%
iter 13980: loss 3.9428, time 3130.44ms, mfu 55.72%
iter 13990: loss 3.7139, time 3131.86ms, mfu 55.73%
step 14000: train loss 3.8019, val loss 3.8082
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-openwebtext-baseline
iter 14000: loss 3.8912, time 20638.87ms, mfu 51.00%
iter 14010: loss 3.8649, time 3122.34ms, mfu 51.50%
iter 14020: loss 3.9512, time 3128.27ms, mfu 51.93%
iter 14030: loss 3.7738, time 3125.28ms, mfu 52.33%
iter 14040: loss 3.8091, time 3131.00ms, mfu 52.68%
iter 14050: loss 3.9122, time 3133.24ms, mfu 52.99%
iter 14060: loss 3.8835, time 3140.17ms, mfu 53.25%
iter 14070: loss 3.8868, time 3131.66ms, mfu 53.51%
iter 14080: loss 3.8897, time 3129.31ms, mfu 53.74%
iter 14090: loss 3.8540, time 3134.48ms, mfu 53.94%
iter 14100: loss 3.8074, time 3129.78ms, mfu 54.13%
iter 14110: loss 3.9051, time 3137.14ms, mfu 54.28%
iter 14120: loss 3.8637, time 3136.11ms, mfu 54.43%
iter 14130: loss 3.8255, time 3138.14ms, mfu 54.55%
iter 14140: loss 3.8011, time 3135.24ms, mfu 54.67%
iter 14150: loss 3.8687, time 3133.35ms, mfu 54.78%
iter 14160: loss 3.8586, time 3133.16ms, mfu 54.88%
iter 14170: loss 3.9003, time 3134.96ms, mfu 54.96%
iter 14180: loss 3.9831, time 3130.57ms, mfu 55.05%
iter 14190: loss 3.9051, time 3129.91ms, mfu 55.12%
iter 14200: loss 3.8881, time 3138.09ms, mfu 55.18%
iter 14210: loss 3.7979, time 3138.07ms, mfu 55.23%
iter 14220: loss 3.9288, time 3135.31ms, mfu 55.28%
iter 14230: loss 3.8672, time 3136.19ms, mfu 55.32%
iter 14240: loss 3.9186, time 3135.27ms, mfu 55.36%
iter 14250: loss 3.8330, time 3133.60ms, mfu 55.40%
iter 14260: loss 3.9096, time 3138.97ms, mfu 55.43%
iter 14270: loss 3.8749, time 3140.30ms, mfu 55.45%
iter 14280: loss 3.9166, time 3139.59ms, mfu 55.47%
iter 14290: loss 3.8172, time 3136.25ms, mfu 55.49%
iter 14300: loss 3.8279, time 3136.64ms, mfu 55.51%
iter 14310: loss 3.7960, time 3136.90ms, mfu 55.53%
iter 14320: loss 3.8246, time 3138.00ms, mfu 55.55%
iter 14330: loss 3.7802, time 3124.72ms, mfu 55.58%
iter 14340: loss 3.8632, time 3136.58ms, mfu 55.59%
iter 14350: loss 3.7946, time 3136.71ms, mfu 55.61%
iter 14360: loss 3.8753, time 3139.74ms, mfu 55.61%
iter 14370: loss 3.8996, time 3134.24ms, mfu 55.62%
iter 14380: loss 3.9127, time 3129.74ms, mfu 55.64%
iter 14390: loss 3.7691, time 3136.12ms, mfu 55.65%
iter 14400: loss 3.7672, time 3132.86ms, mfu 55.66%
iter 14410: loss 3.8431, time 3134.71ms, mfu 55.67%
iter 14420: loss 3.8470, time 3130.07ms, mfu 55.68%
iter 14430: loss 3.7772, time 3132.56ms, mfu 55.69%
iter 14440: loss 3.8768, time 3133.32ms, mfu 55.70%
iter 14450: loss 3.8719, time 3137.24ms, mfu 55.70%
iter 14460: loss 3.8230, time 3140.18ms, mfu 55.69%
iter 14470: loss 3.8149, time 3134.18ms, mfu 55.70%
iter 14480: loss 3.8100, time 3129.84ms, mfu 55.71%
iter 14490: loss 3.8608, time 3136.34ms, mfu 55.71%
iter 14500: loss 3.8866, time 3133.59ms, mfu 55.71%
iter 14510: loss 3.8418, time 3132.94ms, mfu 55.72%
iter 14520: loss 3.8287, time 3133.11ms, mfu 55.72%
iter 14530: loss 3.8438, time 3136.52ms, mfu 55.72%
iter 14540: loss 3.8818, time 3139.38ms, mfu 55.72%
iter 14550: loss 3.8053, time 3132.35ms, mfu 55.72%
iter 14560: loss 3.8159, time 3138.35ms, mfu 55.72%
iter 14570: loss 3.7962, time 3135.78ms, mfu 55.72%
iter 14580: loss 3.8699, time 3136.17ms, mfu 55.72%
iter 14590: loss 3.8278, time 3141.07ms, mfu 55.71%
iter 14600: loss 3.8950, time 3135.87ms, mfu 55.71%
iter 14610: loss 3.7507, time 3139.36ms, mfu 55.70%
iter 14620: loss 3.7353, time 3139.88ms, mfu 55.70%
iter 14630: loss 3.9078, time 3137.03ms, mfu 55.70%
iter 14640: loss 3.8795, time 3131.69ms, mfu 55.71%
iter 14650: loss 3.8668, time 3130.69ms, mfu 55.72%
iter 14660: loss 3.7645, time 3140.80ms, mfu 55.71%
iter 14670: loss 3.7892, time 3134.70ms, mfu 55.71%
iter 14680: loss 3.8136, time 3126.80ms, mfu 55.73%
iter 14690: loss 3.7865, time 3141.60ms, mfu 55.71%
iter 14700: loss 3.7735, time 3137.31ms, mfu 55.71%
