Overriding config with /tmp/baseline_seed47.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 47
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed47'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 900: loss 1.3697, time 23.45ms, mfu 15.03%
iter 910: loss 1.3185, time 23.39ms, mfu 15.12%
iter 920: loss 1.3551, time 23.31ms, mfu 15.21%
iter 930: loss 1.3615, time 23.47ms, mfu 15.28%
iter 940: loss 1.3443, time 23.41ms, mfu 15.34%
iter 950: loss 1.3536, time 24.12ms, mfu 15.35%
iter 960: loss 1.3583, time 26.73ms, mfu 15.21%
iter 970: loss 1.3541, time 23.44ms, mfu 15.28%
iter 980: loss 1.3524, time 23.51ms, mfu 15.34%
iter 990: loss 1.3374, time 23.54ms, mfu 15.39%
step 1000: train loss 1.2723, val loss 1.5195
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed47
iter 1000: loss 1.3332, time 5609.92ms, mfu 13.85%
iter 1010: loss 1.3407, time 23.52ms, mfu 14.05%
iter 1020: loss 1.3189, time 23.60ms, mfu 14.23%
iter 1030: loss 1.3397, time 23.74ms, mfu 14.37%
iter 1040: loss 1.3590, time 23.46ms, mfu 14.52%
iter 1050: loss 1.2936, time 23.52ms, mfu 14.66%
iter 1060: loss 1.3355, time 23.62ms, mfu 14.77%
iter 1070: loss 1.3263, time 23.57ms, mfu 14.87%
iter 1080: loss 1.3338, time 23.53ms, mfu 14.97%
iter 1090: loss 1.3559, time 23.28ms, mfu 15.07%
iter 1100: loss 1.3168, time 23.38ms, mfu 15.16%
iter 1110: loss 1.2927, time 23.79ms, mfu 15.21%
iter 1120: loss 1.2964, time 23.44ms, mfu 15.28%
iter 1130: loss 1.2974, time 23.50ms, mfu 15.34%
iter 1140: loss 1.2941, time 23.55ms, mfu 15.38%
iter 1150: loss 1.3056, time 23.49ms, mfu 15.43%
iter 1160: loss 1.3281, time 23.58ms, mfu 15.47%
iter 1170: loss 1.3001, time 23.59ms, mfu 15.50%
iter 1180: loss 1.3148, time 23.57ms, mfu 15.53%
iter 1190: loss 1.2714, time 23.50ms, mfu 15.56%
iter 1200: loss 1.2943, time 23.13ms, mfu 15.62%
iter 1210: loss 1.2642, time 23.42ms, mfu 15.65%
iter 1220: loss 1.3032, time 23.50ms, mfu 15.67%
iter 1230: loss 1.2997, time 23.25ms, mfu 15.70%
iter 1240: loss 1.3014, time 23.41ms, mfu 15.73%
step 1250: train loss 1.2061, val loss 1.4925
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed47
iter 1250: loss 1.2766, time 4289.65ms, mfu 14.16%
iter 1260: loss 1.2809, time 23.67ms, mfu 14.32%
iter 1270: loss 1.2676, time 23.56ms, mfu 14.47%
iter 1280: loss 1.2603, time 23.59ms, mfu 14.60%
iter 1290: loss 1.2822, time 23.75ms, mfu 14.71%
iter 1300: loss 1.2992, time 25.85ms, mfu 14.68%
iter 1310: loss 1.2384, time 23.64ms, mfu 14.79%
iter 1320: loss 1.3087, time 23.67ms, mfu 14.88%
iter 1330: loss 1.2590, time 23.42ms, mfu 14.99%
iter 1340: loss 1.2992, time 23.74ms, mfu 15.06%
iter 1350: loss 1.2607, time 23.74ms, mfu 15.12%
iter 1360: loss 1.2806, time 23.62ms, mfu 15.19%
iter 1370: loss 1.2557, time 23.63ms, mfu 15.25%
iter 1380: loss 1.2614, time 23.74ms, mfu 15.29%
iter 1390: loss 1.2424, time 23.69ms, mfu 15.33%
iter 1400: loss 1.2590, time 26.02ms, mfu 15.23%
iter 1410: loss 1.2561, time 25.89ms, mfu 15.15%
iter 1420: loss 1.2809, time 25.50ms, mfu 15.10%
iter 1430: loss 1.2518, time 24.74ms, mfu 15.09%
iter 1440: loss 1.2597, time 24.22ms, mfu 15.12%
iter 1450: loss 1.2295, time 24.86ms, mfu 15.11%
iter 1460: loss 1.2440, time 23.82ms, mfu 15.16%
iter 1470: loss 1.2321, time 23.91ms, mfu 15.20%
iter 1480: loss 1.2131, time 23.76ms, mfu 15.25%
iter 1490: loss 1.2399, time 23.54ms, mfu 15.31%
step 1500: train loss 1.1590, val loss 1.4805
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed47
iter 1500: loss 1.1921, time 4231.50ms, mfu 13.79%
iter 1510: loss 1.2356, time 23.84ms, mfu 13.97%
iter 1520: loss 1.2313, time 23.67ms, mfu 14.15%
iter 1530: loss 1.2656, time 23.84ms, mfu 14.30%
iter 1540: loss 1.1979, time 23.62ms, mfu 14.44%
iter 1550: loss 1.2367, time 23.91ms, mfu 14.56%
iter 1560: loss 1.2153, time 23.90ms, mfu 14.66%
iter 1570: loss 1.2403, time 23.98ms, mfu 14.75%
iter 1580: loss 1.2099, time 23.59ms, mfu 14.85%
iter 1590: loss 1.2005, time 23.32ms, mfu 14.97%
iter 1600: loss 1.2022, time 23.45ms, mfu 15.06%
iter 1610: loss 1.2415, time 24.99ms, mfu 15.04%
iter 1620: loss 1.1958, time 24.73ms, mfu 15.05%
iter 1630: loss 1.2103, time 24.78ms, mfu 15.04%
iter 1640: loss 1.2071, time 24.95ms, mfu 15.03%
iter 1650: loss 1.1857, time 25.08ms, mfu 15.02%
iter 1660: loss 1.2277, time 24.64ms, mfu 15.03%
iter 1670: loss 1.2067, time 24.47ms, mfu 15.05%
iter 1680: loss 1.2031, time 24.21ms, mfu 15.08%
iter 1690: loss 1.2079, time 24.67ms, mfu 15.08%
iter 1700: loss 1.1941, time 24.53ms, mfu 15.09%
iter 1710: loss 1.1851, time 23.68ms, mfu 15.16%
iter 1720: loss 1.1898, time 23.53ms, mfu 15.23%
iter 1730: loss 1.2140, time 23.57ms, mfu 15.28%
iter 1740: loss 1.1764, time 26.19ms, mfu 15.18%
step 1750: train loss 1.1152, val loss 1.4704
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed47
iter 1750: loss 1.1959, time 9020.30ms, mfu 13.66%
iter 1760: loss 1.1997, time 23.57ms, mfu 13.88%
iter 1770: loss 1.2023, time 23.57ms, mfu 14.07%
iter 1780: loss 1.2042, time 23.85ms, mfu 14.23%
iter 1790: loss 1.2026, time 24.64ms, mfu 14.32%
iter 1800: loss 1.1817, time 24.63ms, mfu 14.40%
iter 1810: loss 1.1685, time 24.89ms, mfu 14.46%
iter 1820: loss 1.1718, time 24.95ms, mfu 14.50%
iter 1830: loss 1.1862, time 24.90ms, mfu 14.55%
iter 1840: loss 1.1728, time 25.05ms, mfu 14.58%
iter 1850: loss 1.1714, time 25.13ms, mfu 14.61%
iter 1860: loss 1.1892, time 24.74ms, mfu 14.65%
iter 1870: loss 1.1564, time 24.65ms, mfu 14.70%
iter 1880: loss 1.1998, time 23.65ms, mfu 14.80%
iter 1890: loss 1.1901, time 23.86ms, mfu 14.89%
iter 1900: loss 1.1399, time 24.67ms, mfu 14.91%
iter 1910: loss 1.1750, time 24.69ms, mfu 14.93%
iter 1920: loss 1.1846, time 24.92ms, mfu 14.93%
iter 1930: loss 1.1548, time 24.91ms, mfu 14.93%
iter 1940: loss 1.1352, time 25.03ms, mfu 14.93%
iter 1950: loss 1.1539, time 24.72ms, mfu 14.94%
iter 1960: loss 1.1655, time 25.02ms, mfu 14.94%
iter 1970: loss 1.1600, time 24.57ms, mfu 14.96%
iter 1980: loss 1.1635, time 24.97ms, mfu 14.96%
iter 1990: loss 1.1647, time 25.09ms, mfu 14.95%
step 2000: train loss 1.0726, val loss 1.4748
iter 2000: loss 1.1396, time 2037.80ms, mfu 13.47%
iter 2010: loss 1.1384, time 16.09ms, mfu 14.44%
iter 2020: loss 1.1269, time 16.31ms, mfu 15.28%
iter 2030: loss 1.1718, time 16.13ms, mfu 16.06%
iter 2040: loss 1.1545, time 16.32ms, mfu 16.74%
iter 2050: loss 1.1266, time 16.21ms, mfu 17.36%
iter 2060: loss 1.1167, time 16.10ms, mfu 17.94%
iter 2070: loss 1.1436, time 16.18ms, mfu 18.45%
iter 2080: loss 1.1357, time 16.28ms, mfu 18.90%
iter 2090: loss 1.1500, time 16.20ms, mfu 19.31%
iter 2100: loss 1.1549, time 16.44ms, mfu 19.64%
iter 2110: loss 1.1503, time 16.13ms, mfu 19.99%
iter 2120: loss 1.1409, time 16.19ms, mfu 20.29%
iter 2130: loss 1.1461, time 16.43ms, mfu 20.53%
iter 2140: loss 1.1541, time 16.16ms, mfu 20.78%
iter 2150: loss 1.1410, time 16.10ms, mfu 21.02%
iter 2160: loss 1.1555, time 16.10ms, mfu 21.23%
iter 2170: loss 1.1537, time 16.31ms, mfu 21.39%
iter 2180: loss 1.1280, time 16.10ms, mfu 21.57%
iter 2190: loss 1.1250, time 16.16ms, mfu 21.72%
iter 2200: loss 1.1390, time 16.36ms, mfu 21.82%
iter 2210: loss 1.1375, time 16.12ms, mfu 21.95%
iter 2220: loss 1.1432, time 16.22ms, mfu 22.05%
iter 2230: loss 1.1357, time 15.97ms, mfu 22.18%
iter 2240: loss 1.1420, time 16.02ms, mfu 22.29%
step 2250: train loss 1.0284, val loss 1.4903
iter 2250: loss 1.1328, time 1986.29ms, mfu 20.08%
iter 2260: loss 1.1296, time 16.21ms, mfu 20.37%
iter 2270: loss 1.1545, time 16.36ms, mfu 20.61%
iter 2280: loss 1.1132, time 16.48ms, mfu 20.81%
iter 2290: loss 1.1582, time 16.42ms, mfu 21.00%
iter 2300: loss 1.1436, time 16.46ms, mfu 21.16%
iter 2310: loss 1.1185, time 16.61ms, mfu 21.29%
iter 2320: loss 1.1129, time 16.39ms, mfu 21.44%
iter 2330: loss 1.1226, time 16.45ms, mfu 21.56%
iter 2340: loss 1.1442, time 16.36ms, mfu 21.68%
iter 2350: loss 1.1261, time 16.25ms, mfu 21.80%
iter 2360: loss 1.1327, time 16.26ms, mfu 21.91%
iter 2370: loss 1.1145, time 16.35ms, mfu 22.00%
iter 2380: loss 1.1087, time 16.25ms, mfu 22.10%
iter 2390: loss 1.0983, time 16.45ms, mfu 22.15%
iter 2400: loss 1.1094, time 16.43ms, mfu 22.20%
iter 2410: loss 1.0924, time 16.16ms, mfu 22.29%
iter 2420: loss 1.0948, time 16.25ms, mfu 22.35%
iter 2430: loss 1.0863, time 16.45ms, mfu 22.38%
iter 2440: loss 1.0790, time 16.18ms, mfu 22.45%
iter 2450: loss 1.0885, time 16.12ms, mfu 22.52%
iter 2460: loss 1.1164, time 16.12ms, mfu 22.58%
iter 2470: loss 1.1080, time 16.37ms, mfu 22.59%
iter 2480: loss 1.1118, time 16.31ms, mfu 22.62%
iter 2490: loss 1.0834, time 16.11ms, mfu 22.67%
step 2500: train loss 0.9876, val loss 1.4951
iter 2500: loss 1.1069, time 1973.48ms, mfu 20.42%
iter 2510: loss 1.0918, time 16.32ms, mfu 20.66%
iter 2520: loss 1.0672, time 16.10ms, mfu 20.91%
iter 2530: loss 1.0798, time 16.36ms, mfu 21.10%
iter 2540: loss 1.0737, time 16.30ms, mfu 21.27%
iter 2550: loss 1.0952, time 16.17ms, mfu 21.45%
iter 2560: loss 1.0858, time 16.08ms, mfu 21.62%
iter 2570: loss 1.0990, time 16.08ms, mfu 21.78%
iter 2580: loss 1.1076, time 16.21ms, mfu 21.90%
iter 2590: loss 1.0884, time 16.47ms, mfu 21.97%
iter 2600: loss 1.0925, time 16.14ms, mfu 22.08%
iter 2610: loss 1.0792, time 16.21ms, mfu 22.17%
iter 2620: loss 1.0653, time 16.46ms, mfu 22.22%
iter 2630: loss 1.0570, time 16.16ms, mfu 22.30%
iter 2640: loss 1.0709, time 16.25ms, mfu 22.37%
iter 2650: loss 1.0923, time 16.22ms, mfu 22.43%
iter 2660: loss 1.0673, time 16.19ms, mfu 22.49%
iter 2670: loss 1.0499, time 16.51ms, mfu 22.49%
iter 2680: loss 1.0804, time 16.49ms, mfu 22.50%
iter 2690: loss 1.0850, time 16.12ms, mfu 22.57%
iter 2700: loss 1.0539, time 19.86ms, mfu 22.19%
iter 2710: loss 1.0796, time 19.66ms, mfu 21.86%
iter 2720: loss 1.0772, time 19.85ms, mfu 21.55%
iter 2730: loss 1.0922, time 19.86ms, mfu 21.27%
iter 2740: loss 1.0503, time 19.92ms, mfu 21.02%
step 2750: train loss 0.9497, val loss 1.5104
iter 2750: loss 1.0593, time 2010.89ms, mfu 18.93%
iter 2760: loss 1.0514, time 15.63ms, mfu 19.42%
iter 2770: loss 1.0535, time 16.13ms, mfu 19.79%
iter 2780: loss 1.0560, time 16.16ms, mfu 20.12%
iter 2790: loss 1.0587, time 16.15ms, mfu 20.42%
iter 2800: loss 1.0404, time 15.81ms, mfu 20.73%
iter 2810: loss 1.0760, time 16.38ms, mfu 20.93%
iter 2820: loss 1.0506, time 15.78ms, mfu 21.20%
iter 2830: loss 1.0628, time 15.41ms, mfu 21.50%
iter 2840: loss 1.0173, time 15.78ms, mfu 21.71%
iter 2850: loss 1.0546, time 15.37ms, mfu 21.96%
iter 2860: loss 1.0521, time 15.41ms, mfu 22.18%
iter 2870: loss 1.0403, time 15.72ms, mfu 22.33%
iter 2880: loss 1.0639, time 14.98ms, mfu 22.59%
iter 2890: loss 1.0404, time 15.33ms, mfu 22.76%
iter 2900: loss 1.0237, time 15.77ms, mfu 22.85%
iter 2910: loss 1.0673, time 15.62ms, mfu 22.95%
iter 2920: loss 1.0463, time 15.72ms, mfu 23.02%
iter 2930: loss 1.0277, time 15.32ms, mfu 23.15%
iter 2940: loss 1.0249, time 15.62ms, mfu 23.22%
iter 2950: loss 1.0550, time 14.10ms, mfu 23.55%
iter 2960: loss 1.0341, time 15.07ms, mfu 23.66%
iter 2970: loss 1.0303, time 14.68ms, mfu 23.84%
iter 2980: loss 1.0365, time 14.10ms, mfu 24.09%
iter 2990: loss 1.0234, time 16.14ms, mfu 23.99%
step 3000: train loss 0.9123, val loss 1.5242
iter 3000: loss 1.0294, time 1989.11ms, mfu 21.61%
iter 3010: loss 1.0320, time 15.64ms, mfu 21.83%
iter 3020: loss 1.0305, time 13.63ms, mfu 22.38%
iter 3030: loss 1.0420, time 15.74ms, mfu 22.51%
iter 3040: loss 1.0575, time 15.71ms, mfu 22.63%
iter 3050: loss 1.0224, time 16.20ms, mfu 22.67%
iter 3060: loss 1.0416, time 16.17ms, mfu 22.71%
iter 3070: loss 1.0579, time 16.08ms, mfu 22.76%
iter 3080: loss 1.0354, time 16.05ms, mfu 22.80%
iter 3090: loss 1.0320, time 16.09ms, mfu 22.84%
iter 3100: loss 1.0367, time 15.24ms, mfu 23.00%
iter 3110: loss 1.0144, time 15.22ms, mfu 23.15%
iter 3120: loss 1.0318, time 15.62ms, mfu 23.22%
iter 3130: loss 1.0111, time 16.01ms, mfu 23.22%
iter 3140: loss 1.0091, time 15.45ms, mfu 23.31%
iter 3150: loss 1.0284, time 15.41ms, mfu 23.40%
iter 3160: loss 1.0492, time 15.45ms, mfu 23.47%
iter 3170: loss 0.9948, time 15.82ms, mfu 23.48%
iter 3180: loss 1.0139, time 15.26ms, mfu 23.58%
iter 3190: loss 1.0347, time 19.88ms, mfu 23.09%
iter 3200: loss 1.0070, time 19.79ms, mfu 22.67%
iter 3210: loss 1.0122, time 19.88ms, mfu 22.27%
iter 3220: loss 0.9970, time 20.27ms, mfu 21.88%
iter 3230: loss 0.9879, time 22.16ms, mfu 21.38%
iter 3240: loss 0.9922, time 21.79ms, mfu 20.95%
step 3250: train loss 0.8703, val loss 1.5619
iter 3250: loss 1.0120, time 2024.50ms, mfu 18.87%
iter 3260: loss 1.0120, time 16.51ms, mfu 19.24%
iter 3270: loss 1.0145, time 16.35ms, mfu 19.60%
iter 3280: loss 0.9942, time 16.16ms, mfu 19.94%
iter 3290: loss 0.9756, time 16.39ms, mfu 20.22%
iter 3300: loss 0.9934, time 16.03ms, mfu 20.53%
iter 3310: loss 0.9888, time 15.96ms, mfu 20.81%
iter 3320: loss 0.9950, time 16.24ms, mfu 21.02%
iter 3330: loss 0.9971, time 16.24ms, mfu 21.21%
iter 3340: loss 0.9944, time 16.25ms, mfu 21.39%
iter 3350: loss 1.0062, time 16.18ms, mfu 21.55%
iter 3360: loss 0.9651, time 16.24ms, mfu 21.69%
iter 3370: loss 1.0053, time 16.30ms, mfu 21.81%
iter 3380: loss 0.9833, time 16.50ms, mfu 21.89%
iter 3390: loss 0.9841, time 20.52ms, mfu 21.51%
iter 3400: loss 0.9887, time 22.09ms, mfu 21.05%
iter 3410: loss 0.9892, time 20.50ms, mfu 20.76%
iter 3420: loss 0.9836, time 20.16ms, mfu 20.53%
iter 3430: loss 0.9931, time 20.43ms, mfu 20.30%
iter 3440: loss 1.0193, time 19.98ms, mfu 20.14%
iter 3450: loss 1.0039, time 20.14ms, mfu 19.97%
iter 3460: loss 0.9788, time 20.32ms, mfu 19.81%
iter 3470: loss 0.9772, time 20.05ms, mfu 19.69%
iter 3480: loss 0.9888, time 20.30ms, mfu 19.55%
iter 3490: loss 0.9516, time 20.05ms, mfu 19.46%
step 3500: train loss 0.8271, val loss 1.5680
iter 3500: loss 0.9503, time 2027.34ms, mfu 17.53%
iter 3510: loss 0.9634, time 16.22ms, mfu 18.07%
iter 3520: loss 0.9599, time 16.24ms, mfu 18.56%
iter 3530: loss 0.9930, time 16.27ms, mfu 19.00%
iter 3540: loss 0.9616, time 16.51ms, mfu 19.35%
iter 3550: loss 0.9635, time 16.36ms, mfu 19.70%
iter 3560: loss 1.0047, time 16.23ms, mfu 20.02%
iter 3570: loss 0.9811, time 16.32ms, mfu 20.30%
iter 3580: loss 0.9922, time 16.25ms, mfu 20.56%
iter 3590: loss 0.9650, time 16.17ms, mfu 20.81%
iter 3600: loss 0.9748, time 16.11ms, mfu 21.04%
iter 3610: loss 0.9592, time 16.19ms, mfu 21.24%
iter 3620: loss 0.9491, time 16.21ms, mfu 21.42%
iter 3630: loss 0.9732, time 16.58ms, mfu 21.52%
iter 3640: loss 0.9567, time 16.37ms, mfu 21.65%
iter 3650: loss 0.9492, time 16.22ms, mfu 21.78%
iter 3660: loss 0.9821, time 16.31ms, mfu 21.89%
iter 3670: loss 0.9931, time 16.23ms, mfu 21.99%
iter 3680: loss 0.9444, time 16.21ms, mfu 22.09%
iter 3690: loss 0.9799, time 16.26ms, mfu 22.17%
iter 3700: loss 0.9101, time 16.18ms, mfu 22.26%
iter 3710: loss 0.9207, time 16.13ms, mfu 22.34%
iter 3720: loss 0.9382, time 16.24ms, mfu 22.40%
iter 3730: loss 0.9491, time 16.35ms, mfu 22.44%
iter 3740: loss 0.9468, time 19.47ms, mfu 22.11%
step 3750: train loss 0.7879, val loss 1.5972
iter 3750: loss 0.9418, time 2003.66ms, mfu 19.92%
iter 3760: loss 0.9847, time 16.25ms, mfu 20.22%
iter 3770: loss 0.9731, time 16.17ms, mfu 20.50%
iter 3780: loss 0.9634, time 16.04ms, mfu 20.78%
iter 3790: loss 0.9401, time 16.26ms, mfu 20.99%
iter 3800: loss 0.9546, time 17.09ms, mfu 21.07%
iter 3810: loss 0.9630, time 16.87ms, mfu 21.17%
iter 3820: loss 0.9357, time 16.53ms, mfu 21.31%
iter 3830: loss 0.9391, time 16.85ms, mfu 21.39%
iter 3840: loss 0.9376, time 16.77ms, mfu 21.47%
iter 3850: loss 0.9325, time 16.79ms, mfu 21.54%
iter 3860: loss 0.9204, time 16.47ms, mfu 21.65%
iter 3870: loss 0.9360, time 16.35ms, mfu 21.77%
iter 3880: loss 0.9228, time 16.27ms, mfu 21.88%
iter 3890: loss 0.9365, time 14.29ms, mfu 22.30%
iter 3900: loss 0.9343, time 16.64ms, mfu 22.31%
iter 3910: loss 0.9210, time 16.66ms, mfu 22.31%
iter 3920: loss 0.9103, time 16.66ms, mfu 22.32%
iter 3930: loss 0.9358, time 16.32ms, mfu 22.37%
iter 3940: loss 0.9068, time 19.93ms, mfu 22.00%
iter 3950: loss 0.9194, time 19.97ms, mfu 21.67%
iter 3960: loss 0.9459, time 19.88ms, mfu 21.38%
iter 3970: loss 0.9323, time 19.92ms, mfu 21.11%
iter 3980: loss 0.9395, time 19.81ms, mfu 20.88%
iter 3990: loss 0.9172, time 19.15ms, mfu 20.74%
step 4000: train loss 0.7571, val loss 1.6218
iter 4000: loss 0.8958, time 2020.02ms, mfu 18.68%
iter 4010: loss 0.9195, time 14.78ms, mfu 19.33%
iter 4020: loss 0.9347, time 15.19ms, mfu 19.85%
iter 4030: loss 0.9162, time 14.37ms, mfu 20.46%
iter 4040: loss 0.9156, time 13.35ms, mfu 21.21%
iter 4050: loss 0.9106, time 14.63ms, mfu 21.63%
iter 4060: loss 0.8962, time 14.01ms, mfu 22.13%
iter 4070: loss 0.8995, time 13.85ms, mfu 22.61%
iter 4080: loss 0.9130, time 14.21ms, mfu 22.97%
iter 4090: loss 0.8767, time 15.02ms, mfu 23.15%
iter 4100: loss 0.9409, time 14.05ms, mfu 23.49%
iter 4110: loss 0.9104, time 11.79ms, mfu 24.30%
iter 4120: loss 0.9142, time 13.99ms, mfu 24.53%
iter 4130: loss 0.9004, time 13.54ms, mfu 24.83%
