Overriding config with /tmp/baseline_seed49.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 49
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed49'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2654, time 8022.00ms, mfu -100.00%
iter 10: loss 3.1462, time 11.79ms, mfu 31.59%
iter 20: loss 2.7311, time 12.31ms, mfu 31.46%
iter 30: loss 2.6177, time 12.46ms, mfu 31.31%
iter 40: loss 2.5754, time 12.36ms, mfu 31.19%
iter 50: loss 2.5249, time 12.12ms, mfu 31.15%
iter 60: loss 2.5141, time 12.49ms, mfu 31.02%
iter 70: loss 2.4946, time 12.40ms, mfu 30.92%
iter 80: loss 2.4935, time 12.34ms, mfu 30.85%
iter 90: loss 2.4697, time 12.25ms, mfu 30.80%
iter 100: loss 2.4644, time 12.71ms, mfu 30.66%
iter 110: loss 2.4619, time 12.56ms, mfu 30.56%
iter 120: loss 2.4275, time 12.55ms, mfu 30.47%
iter 130: loss 2.4129, time 12.41ms, mfu 30.43%
iter 140: loss 2.4073, time 12.47ms, mfu 30.37%
iter 150: loss 2.4110, time 12.64ms, mfu 30.29%
iter 160: loss 2.3709, time 12.59ms, mfu 30.22%
iter 170: loss 2.3539, time 12.26ms, mfu 30.23%
iter 180: loss 2.3140, time 12.46ms, mfu 30.20%
iter 190: loss 2.2498, time 12.35ms, mfu 30.20%
iter 200: loss 2.2062, time 12.52ms, mfu 30.15%
iter 210: loss 2.1374, time 12.42ms, mfu 30.14%
iter 220: loss 2.1442, time 12.34ms, mfu 30.14%
iter 230: loss 2.0673, time 12.20ms, mfu 30.18%
iter 240: loss 2.0747, time 12.47ms, mfu 30.15%
step 250: train loss 1.9637, val loss 2.0590
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed49
iter 250: loss 2.0298, time 4553.64ms, mfu 27.15%
iter 260: loss 1.9809, time 23.91ms, mfu 25.99%
iter 270: loss 1.9789, time 23.49ms, mfu 24.98%
iter 280: loss 1.9751, time 23.24ms, mfu 24.08%
iter 290: loss 1.9067, time 25.06ms, mfu 23.16%
iter 300: loss 1.8969, time 24.56ms, mfu 22.36%
iter 310: loss 1.8708, time 24.72ms, mfu 21.63%
iter 320: loss 1.8507, time 24.61ms, mfu 20.98%
iter 330: loss 1.8230, time 24.41ms, mfu 20.41%
iter 340: loss 1.7847, time 24.51ms, mfu 19.89%
