Overriding config with /tmp/baseline_seed48.py:
# Import base config
exec(open('config/train_baby_baseline_multiseed.py').read())

# Override with seed-specific values
seed_offset = 48
out_dir = '/net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed48'

tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2874, val loss 4.2823
iter 0: loss 4.2654, time 12431.61ms, mfu -100.00%
iter 10: loss 3.1461, time 15.49ms, mfu 24.06%
iter 20: loss 2.7311, time 16.04ms, mfu 23.98%
iter 30: loss 2.6178, time 16.10ms, mfu 23.89%
iter 40: loss 2.5755, time 16.24ms, mfu 23.80%
iter 50: loss 2.5250, time 16.10ms, mfu 23.73%
iter 60: loss 2.5142, time 17.87ms, mfu 23.44%
iter 70: loss 2.4946, time 16.21ms, mfu 23.40%
iter 80: loss 2.4936, time 16.08ms, mfu 23.38%
iter 90: loss 2.4697, time 16.34ms, mfu 23.32%
iter 100: loss 2.4636, time 13.07ms, mfu 23.84%
iter 110: loss 2.4613, time 16.16ms, mfu 23.76%
iter 120: loss 2.4274, time 16.58ms, mfu 23.63%
iter 130: loss 2.4130, time 16.50ms, mfu 23.53%
iter 140: loss 2.4026, time 16.10ms, mfu 23.49%
iter 150: loss 2.4068, time 16.11ms, mfu 23.45%
iter 160: loss 2.3717, time 21.17ms, mfu 22.87%
iter 170: loss 2.3628, time 20.99ms, mfu 22.36%
iter 180: loss 2.3110, time 20.79ms, mfu 21.91%
iter 190: loss 2.2527, time 21.05ms, mfu 21.49%
iter 200: loss 2.2039, time 20.77ms, mfu 21.14%
iter 210: loss 2.1391, time 21.13ms, mfu 20.79%
iter 220: loss 2.1397, time 20.69ms, mfu 20.51%
iter 230: loss 2.0827, time 20.87ms, mfu 20.24%
iter 240: loss 2.0765, time 22.88ms, mfu 19.85%
step 250: train loss 1.9715, val loss 2.0698
saving checkpoint to /net/scratch2/junyuren/nanoGPT-manifold/out-baby-baseline-seed48
iter 250: loss 2.0357, time 4455.00ms, mfu 17.87%
iter 260: loss 1.9792, time 24.87ms, mfu 17.58%
iter 270: loss 1.9767, time 25.06ms, mfu 17.31%
iter 280: loss 1.9740, time 25.06ms, mfu 17.07%
iter 290: loss 1.9095, time 25.23ms, mfu 16.84%
iter 300: loss 1.8991, time 25.23ms, mfu 16.63%
iter 310: loss 1.8658, time 24.97ms, mfu 16.46%
iter 320: loss 1.8501, time 25.23ms, mfu 16.29%
iter 330: loss 1.8231, time 16.94ms, mfu 16.86%
iter 340: loss 1.7835, time 16.93ms, mfu 17.38%
